crt.sh ID,Logged At,Not Before,Not After,Common Name,Matching Identities,Issuer Name
6721701681,2022-05-13,2021-08-30,2022-09-28,"prod-config-querier.infosec.on.epicgames.com","prod-config-querier.infosec.on.epicgames.com
www.prod-config-querier.infosec.on.epicgames.com","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
6726008761,2022-05-14,2022-05-14,2022-08-12,"targetprocess-bot.stage.it.epicgames.com","targetprocess-bot.stage.it.epicgames.com","C=US, O=Let's Encrypt, CN=R3"
6726011984,2022-05-14,2022-05-14,2022-08-12,"targetprocess-bot.stage.it.epicgames.com","targetprocess-bot.stage.it.epicgames.com","C=US, O=Let's Encrypt, CN=R3"
6726628574,2022-05-14,2022-05-14,2022-08-12,"targetprocess-bot.it.epicgames.com","targetprocess-bot.it.epicgames.com","C=US, O=Let's Encrypt, CN=R3"
6726632066,2022-05-14,2022-05-14,2022-08-12,"targetprocess-bot.it.epicgames.com","targetprocess-bot.it.epicgames.com","C=US, O=Let's Encrypt, CN=R3"
6726872180,2022-05-14,2021-07-22,2022-08-20,"*.cdce.live.use1a.on.epicgames.com","*.cdce.live.use1a.on.epicgames.com","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
6735316682,2022-05-15,2022-05-15,2022-08-13,"*.store.epicgames.com","*.store.epicgames.com
store.epicgames.com","C=US, O=Let's Encrypt, CN=R3"
6735315810,2022-05-15,2022-05-15,2022-08-13,"*.store.epicgames.com","*.store.epicgames.com
store.epicgames.com","C=US, O=Let's Encrypt, CN=R3"
6746429947,2022-05-17,2022-05-17,2022-08-15,"playtest-bot.stage.it.epicgames.com","playtest-bot.stage.it.epicgames.com","C=US, O=Let's Encrypt, CN=R3"
6746434616,2022-05-17,2022-05-17,2022-08-15,"playtest-bot.stage.it.epicgames.com","playtest-bot.stage.it.epicgames.com","C=US, O=Let's Encrypt, CN=R3"
6746990179,2022-05-17,2022-05-17,2022-08-15,"playtest-bot.it.epicgames.com","playtest-bot.it.epicgames.com","C=US, O=Let's Encrypt, CN=R3"
6746993226,2022-05-17,2022-05-17,2022-08-15,"playtest-bot.it.epicgames.com","playtest-bot.it.epicgames.com","C=US, O=Let's Encrypt, CN=R3"
6749005161,2022-05-17,2022-05-17,2022-08-15,"vfxfellowship.epicgames.com","vfxfellowship.epicgames.com","C=US, O=Google Trust Services LLC, CN=GTS CA 1D4"
6780345834,2022-05-22,2021-10-04,2022-11-02,"fortnite-public-service-livebroadcasting-prod.ol.epicgames.com","fortnite-public-service-livebroadcasting-prod.ol.epicgames.com","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
6792806463,2022-05-24,2022-05-24,2022-08-22,"recap.it.epicgames.com","recap.it.epicgames.com","C=US, O=Let's Encrypt, CN=R3"
6792812486,2022-05-24,2022-05-24,2022-08-22,"recap.it.epicgames.com","recap.it.epicgames.com","C=US, O=Let's Encrypt, CN=R3"
